bid,lat,lon,btype,h3_grid_res_7,h3_grid_res_8,h3_grid_res_9,h3_grid_res_10
23064,51.374178,12.356787,71,871f1a8ccffffff,881f1a8cc3fffff,891f1a8cc2fffff,8a1f1a8cc2e7fff
39030,51.337662,12.373206,71,871f1a8cbffffff,881f1a8cb5fffff,891f1a8cb4fffff,8a1f1a8cb4e7fff
23394,51.337324,12.377911,71,871f1a8cbffffff,881f1a8cb7fffff,891f1a8cb7bffff,8a1f1a8cb787fff
39190,51.362996,12.370801,71,871f1a8c8ffffff,881f1a8c8bfffff,891f1a8c833ffff,8a1f1a8c8327fff
23067,51.336253,12.3842,196,871f1a8cbffffff,881f1a8cb7fffff,891f1a8cb63ffff,8a1f1a8cb61ffff
20170,51.331996,12.368142,196,871f1a164ffffff,881f1a164bfffff,891f1a164bbffff,8a1f1a164bb7fff
23125,51.340627,12.353636,71,871f1a8caffffff,881f1a8ca3fffff,891f1a8ca3bffff,8a1f1a8ca387fff
21711,51.331578,12.387238,196,871f1a165ffffff,881f1a165dfffff,891f1a165c3ffff,8a1f1a165d57fff
23006,51.338911,12.374498,150,871f1a8cbffffff,881f1a8cb5fffff,891f1a8cb47ffff,8a1f1a8cb457fff
39116,51.361858,12.360828,71,871f1a8c8ffffff,881f1a8c81fffff,891f1a8c803ffff,8a1f1a8c8027fff
23418,51.330396,12.37374,71,871f1a164ffffff,881f1a164bfffff,891f1a164a3ffff,8a1f1a164aaffff
300108,51.3434,12.321651,150,871f1a8ddffffff,881f1a8ddbfffff,891f1a8ddafffff,8a1f1a8ddaf7fff
21528,51.331507,12.36946,196,871f1a164ffffff,881f1a164bfffff,891f1a164bbffff,8a1f1a164b87fff
20152,51.330387,12.368343,196,871f1a164ffffff,881f1a164bfffff,891f1a164bbffff,8a1f1a164b97fff
39017,51.339827,12.372811,71,871f1a8cbffffff,881f1a8cb5fffff,891f1a8cb43ffff,8a1f1a8cb42ffff
22051,51.32704,12.322317,196,871f1a8d9ffffff,881f1a8d9dfffff,891f1a8d9c7ffff,8a1f1a8d9c67fff
23479,51.361231,12.360864,71,871f1a8c8ffffff,881f1a8c81fffff,891f1a8c803ffff,8a1f1a8c8007fff
21971,51.337409,12.378706,196,871f1a8cbffffff,881f1a8cb7fffff,891f1a8cb7bffff,8a1f1a8cb787fff
21634,51.331831,12.385227,196,871f1a165ffffff,881f1a165dfffff,891f1a165d3ffff,8a1f1a165d1ffff
300012,51.325453,12.344549,150,871f1a8d9ffffff,881f1a8d93fffff,891f1a8d937ffff,8a1f1a8d9367fff
20317,51.336204,12.403031,71,871f1a165ffffff,881f1a165bfffff,891f1a16587ffff,8a1f1a16584ffff
